,cgpa,Critical Thinking,Problem Solving,Public Speaking,Professional Writing,Team Work,Leadership & Professional Attitude,Mass Communication,Software Engineering Principal,Data Structure & Algorithm,Database Management,Data Analysis skill,Web Developing Skill,Understanding of computer architecture & System,Understanding Operating System,Networking Concept,Cyber Security Skill,Machine Learning Skill,Robotics Skill,Research Skill,publication,project,Influencing Factor,Prefer Job
168,2.92,3,3,3,2,3,2,2,3,3,3,2,3,2,3,2,1,2,2,1,0,5,Job Security,"Software Development,Database Administration"
169,3.05,1,2,2,2,2,2,2,2,1,1,1,2,1,1,2,1,1,1,2,2,4,flaxible Work Life Balanced,Software Development
170,3.78,2,2,1,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,0,2,"Job Security,Job Environment,flaxible Work Life Balanced","Software Development,Networking,Data Analysis,ML/AI Engineer,Teaching,Researcher,Abroad"
171,3.01,2,2,2,2,2,3,2,2,1,1,1,2,1,1,2,1,1,1,1,0,4,"Job Security,Job Environment,Salary","Software Development,Bank Job,Abroad"
172,3.12,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1,1,0,2,"Social Acceptance,Job Security,Job Environment,Salary,flaxible Work Life Balanced","Software Development,ML/AI Engineer,Teaching,Bank Job,Govt Job"
173,2.9,2,2,3,2,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,1,5,Social Acceptance,Software Development
174,3.271183673,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,"Job Security,Salary,flaxible Work Life Balanced",Govt Job
175,3.66,2,2,2,2,3,2,2,2,2,2,2,1,1,1,1,1,2,1,1,0,3,Job Environment,"Software Development,Cyber Security,ML/AI Engineer,Abroad"
176,3.21,2,2,2,1,2,2,1,2,2,2,1,1,2,2,2,1,1,1,1,0,2,"Social Acceptance,Job Security,Job Environment,Salary,flaxible Work Life Balanced","Software Development,Teaching,Business"
177,3.66,2,2,1,1,2,2,1,2,2,2,1,3,2,1,1,1,1,1,1,0,3,"Job Security,Job Environment,Salary,flaxible Work Life Balanced","Software Development,ML/AI Engineer,Researcher,Abroad"
178,3.271183673,2,2,3,1,3,3,3,1,2,1,1,1,1,1,1,1,1,1,2,0,2,"Social Acceptance,Job Security,Job Environment,Salary","Teaching,BCS,Govt Job"
179,3,2,2,3,1,2,2,3,1,1,2,1,1,1,1,1,1,1,1,1,0,5,"Social Acceptance,Job Security,Job Environment,Salary,flaxible Work Life Balanced","ML/AI Engineer,Teaching,Bank Job,BCS"
180,3.13,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,other,"Software Development,Other"
181,3.61,3,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,other,Software Development
182,3.65,1,2,2,2,3,2,2,2,2,2,2,2,1,1,3,1,1,1,1,0,5,"Social Acceptance,Job Security,Job Environment,Salary,flaxible Work Life Balanced",Software Development
183,3.21,3,1,2,2,2,2,1,2,1,2,1,2,2,1,2,2,1,1,1,0,5,Job Security,"Software Development,Data Analysis,Govt Job,Other"
184,3.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,other,Software Development
185,3.5,1,2,1,1,2,2,1,1,2,2,1,1,1,1,1,1,0,0,0,0,3,"Job Environment,Salary,flaxible Work Life Balanced","Software Development,Management,Business"
186,1.75,2,2,1,2,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,flaxible Work Life Balanced,Software Development
187,3.37,0,2,1,2,1,1,2,1,2,1,1,1,1,1,2,1,1,1,1,0,1,"Social Acceptance,Job Security,Job Environment,Salary,flaxible Work Life Balanced","Software Development,Networking,Cyber Security,Database Administration,Data Analysis,UI/UX Designing,Management,Bank Job,BCS,Govt Job,Abroad"
