,gender,year,cgpa,university_name,Critical Thinking,Problem Solving,Team Work,Communication Skill,Software Engineering Principal,Data Structure & Algorithm,Database Management,Data Analysis skill,Web Developing Skill,Understanding of computer architecture & System,Understanding Operating System,Networking Concept,Cyber Security Skill,Machine Learning Skill,Robotics Skill,Research Skill,publication,project,Influencing Factor,Prefer Job
224,Male,4th,3.2,American International University-Bangladesh (AIUB),1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,4,other,other
225,Male,4th,3.4,American International University-Bangladesh (AIUB),3,2,3,2,2,2,2,2,2,2,2,2,2,2,3,3,1,1,Job Security,Management
226,Male,4th,2.88,Jahangirnagar University (JU),1,2,2,2,1,1,2,2,2,3,3,1,1,1,1,1,0,2,Social Acceptance,Software Development
227,Male,4th,3.71,Khulna University (KU),2,2,2,1,1,3,3,1,3,1,1,1,1,1,1,1,0,2,"Social Acceptance,Job Security,Job Environment,Salary,flaxible Work Life Balanced",Software Development
228,Male,4th,3.66,American International University-Bangladesh (AIUB),1,2,2,2,2,2,2,1,1,1,0,2,2,2,2,2,0,2,"Job Security,Job Environment,Salary","Software Development,Cyber Security"
229,Male,4th,3.57,American International University-Bangladesh (AIUB),1,2,2,2,1,1,2,2,2,1,2,1,1,0,1,1,2,2,"Social Acceptance,Job Security,Job Environment","Software Development,Networking,Cyber Security,Data Analysis"
230,Male,4th,3.27,American International University-Bangladesh (AIUB),1,2,1,1,2,2,1,2,1,1,2,2,2,1,1,2,2,3,"Social Acceptance,Job Security,Job Environment","Software Development,Networking,Cyber Security,Data Analysis"
231,Male,4th,3.33,American International University-Bangladesh (AIUB),2,2,2,3,2,3,2,1,1,1,1,1,1,1,1,1,0,0,other,other
232,Male,4th,3.2,Jahangirnagar University (JU),1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,9,other,other
233,Male,4th,3.15,Daffodil International University (DIU),3,3,3,1,2,3,3,1,2,2,3,2,2,2,2,2,0,4,"Job Security,Salary,flaxible Work Life Balanced","Software Development,Networking,Cyber Security"
